id,sport_id,event_name
412,7,"Athletics Men's Javelin Throw, Freestyle"
413,7,Athletics Men's Pentathlon (Ancient)
414,26,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
415,9,Swimming Women's 100 metres Butterfly
416,17,Weightlifting Men's Heavyweight I
417,7,"Athletics Women's 3,000 metres Steeplechase"
418,7,"Athletics Men's Shot Put, Both Hands"
419,49,"Ski Jumping Men's Large Hill, Individual"
420,49,"Ski Jumping Men's Large Hill, Team"
421,26,Shooting Women's Trap
422,10,Badminton Men's Doubles
423,9,Swimming Women's 4 x 200 metres Freestyle Relay
424,7,Athletics Men's 10 kilometres Walk
425,7,Athletics Women's 20 kilometres Walk
426,7,Athletics Women's 80 metres Hurdles
427,11,Sailing Men's One Person Heavyweight Dinghy
428,44,Freestyle Skiing Women's Aerials
429,14,"Art Competitions Mixed Painting, Paintings"
430,32,"Tennis Mixed Doubles, Covered Courts"
431,29,Cycling Men's Madison
432,14,"Art Competitions Mixed Sculpturing, Statues"
433,52,Rugby Men's Rugby
434,17,Weightlifting Men's Heavyweight II
435,31,"Canoeing Women's Kayak Doubles, 500 metres"
436,53,"Short Track Speed Skating Men's 5,000 metres Relay"
437,29,Cycling Men's Individual Time Trial
438,2,Judo Women's Heavyweight
439,31,"Canoeing Men's Kayak Doubles, 1,000 metres"
440,13,"Gymnastics Men's Individual All-Around, 5 Events"
441,18,"Wrestling Men's Super-Heavyweight, Freestyle"
442,12,Biathlon Women's 10 kilometres Pursuit
443,12,Biathlon Women's 12.5 kilometres Mass Start
444,12,Biathlon Women's 4 x 6 kilometres Relay
445,24,"Fencing Women's Sabre, Team"
446,26,Shooting Men's Double Trap
447,17,Weightlifting Men's Bantamweight
448,28,Taekwondo Men's Heavyweight
449,11,Sailing Mixed Windsurfer
450,28,Taekwondo Women's Welterweight
451,26,"Shooting Mixed Free Rifle, Three Positions, 300 metres"
452,54,Skeleton Men's Skeleton
453,29,Cycling Men's 50 kilometres
454,26,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
455,29,Cycling Men's 333 metres Time Trial
456,29,Cycling Men's 20 kilometres
457,31,"Canoeing Men's Kayak Singles, 10,000 metres"
458,11,Sailing Mixed Open
459,11,Sailing Mixed 1-2 Ton
460,31,"Canoeing Men's Canadian Singles, Slalom"
461,19,Luge Men's Singles
462,19,Luge Mixed (Men)'s Doubles
463,11,Sailing Mixed Multihull
464,10,Badminton Women's Doubles
465,5,"Speed Skating Women's 3,000 metres"
466,6,Cross Country Skiing Women's 5/10 kilometres Pursuit
467,6,Cross Country Skiing Women's 4 x 5 kilometres Relay
468,6,Cross Country Skiing Women's 15 kilometres
469,6,Cross Country Skiing Women's 5/5 kilometres Pursuit
470,30,Diving Women's Synchronized Platform
471,7,Athletics Women's Triple Jump
472,54,Skeleton Women's Skeleton
473,23,Bobsleigh Men's Four/Five
474,14,"Art Competitions Mixed Painting, Drawings And Water Colors"
475,26,"Shooting Men's Dueling Pistol, 30 metres"
476,27,Boxing Women's Lightweight
477,29,Cycling Women's BMX
478,31,"Canoeing Men's Kayak Doubles, 200 metres"
479,24,"Fencing Men's Sabre, Masters, Individual"
480,55,Lacrosse Men's Lacrosse
481,31,"Canoeing Women's Kayak Singles, 500 metres"
482,7,Athletics Women's 10 kilometres Walk
483,11,Sailing Mixed 12 metres
484,2,Judo Women's Extra-Lightweight
485,30,Diving Men's Synchronized Springboard
486,22,"Rowing Men's Coxed Fours, Outriggers"
487,13,Gymnastics Men's Rope Climbing
488,11,Sailing Mixed Two Person Dinghy
489,14,"Art Competitions Mixed Architecture, Unknown Event"
490,37,"Archery Men's Target Archery, 28 metres, Team"
491,37,"Archery Men's Target Archery, 33 metres, Team"
492,37,"Archery Men's Target Archery, 50 metres, Team"
493,53,"Short Track Speed Skating Women's 3,000 metres Relay"
494,44,Freestyle Skiing Women's Moguls
495,53,Short Track Speed Skating Men's 500 metres
